name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
Данон 670 гр Клубника,4870206415368,pcs,770,,,,
Данон 670 гр Малина,4870206415375,pcs,770,,,,
Данон 670 гр Гранат,4870206415351,pcs,770,,,,
Творог мягкий 5% 170г,4600605032350,pcs,490,,,,
Творог десерт 130г клубника,4600605032497,pcs,350,,,,
Творог десерт 130г персик,4600605032527,pcs,350,,,,
"ШД молоко 300 гр 7,1% ж/б",4810108009876,pcs,900,,,,
"Молоко Зенченко(Родина) 3,2% -0,9л",4870006421361 4870005730679,pcs,450,,,,
"Кефир Зенченко 2,5% -1л",4870006421309,pcs,460,,,,
Сметана Зенченко 15% -200гр,4870006420067,pcs,405,,,,
Сметана Зенченко 15% -400гр,4870006420869,pcs,735,,,,
Сметана Зенченко 20% -200гр,4870006420074,pcs,420,,,,
Сметана Зенченко 20% -400гр,4870006420807,pcs,765,,,,
ТворогЗенченко 0% -200гр,4870006420104,pcs,380,,,,
ТворогЗенченко 5% -200гр,4870006420081,pcs,360,,,,
"Сливки Президент для соуса 23 % 0,20 гр.",4601662006452,pcs,900,,,,
"Сыр рассольный Брынза Президент 0,25 кг. 45 % .",8606002116156,pcs,"1,805",,,,
"Молоко Родина 3,2% -1л",2500000000119,pcs,450,,,,
"Кефир Родина 2,5% -1л",487005730259 4870005730259,pcs,500,,,,
"Ряженка Зенченко (Родина) 2,5% -1л",48700057421347,pcs,520,,,,
"Творог ""Родина"" со сливками 300гр 5%",2500302650012,pcs,425,,,,
Творог Родина со сливками  300гр 5%,4870005730167,pcs,465,,,,
Кисломол-й продукт  Снежок 1 литр  2%,487005730570 4870005730570,pcs,440,,,,
"Сметана ""Родина""  200 гр-20%",4870005730174,pcs,360,,,,
"Сметана ""Родина""  400гр-15%",4870005730143 4870005730143,pcs,750,,,,
"Сметана ""Родина""  400гр-20%",4870005730112,pcs,770,,,,
"Сметана ""Родина""  400гр- 30%",4870005730051,pcs,820,,,,
"Масло Родина  Сливочные 200гр 72,5% жирности",4870005730648,pcs,930,,,,
"Кефир ""Талинский"" Зенченко 0,9л-1%",4870006421323,pcs,440,,,,
Масло  Крестьянское фасовка -200 гр,487006420128 4870006420128,pcs,"1,180",,,,
"Айран турецкий 1,2%-1л Эмиль",4870132003653,pcs,735,,,,
"Айран турецкий 1,2%-260мл Эмиль",4870132003592,pcs,255,,,,
Сметана Эмиль 15% 200гр,4870132001345,pcs,425,,,,
Сметана Эмиль 15% 400гр,4870132001338,pcs,700,,,,
Сметана Эмиль 20% 200гр,4870132001758,pcs,475,,,,
Сметана Эмиль 20% 400гр,4870132001741,pcs,790,,,,
Сыр Блочки Сливочный Hohland 100гр,4607004890208,pcs,635,,,,
Сыр Блочки Сливочный Hohland 50гр,4607004890574,pcs,330,,,,
Сыр плавленый Hohland грибы 150гр,4607004890079,pcs,"1,180",,,,
Сыр плавленый Hohland сливочный классич 150гр,4607004892653,pcs,"1,280",,,,
Сыр плавленый Hohland Чизбургер 150гр,4607004890086,pcs,"1,280",,,,
Сыр плавленый Hohland Сэндвич 150гр,4607004890093,pcs,"1,190",,,,
Сыр плавленый Hohland Чизбургер 185гр,4607004893094,pcs,"1,045",,,,
Сыр плавленый Hohland Ассорти 150гр,4607004890543,pcs,"1,280",,,,
