Номенклатура,Штрихкоды,Ед.,Основной тип цен
Сыр Emir мини Моцарелла 300гр,4870021100203,шт,"1,460"
Сыр Emir Невский плав 200гр,4870021100180,шт,705
Растишка творог Клубника-Банан пломбир 270гр,4600605022023,шт,930
Растишка творог Лесная-Ягода пломбир 270гр,4600605022221,шт,"1,005"
Растишка Молочный коктейль клубника 210гр,4600605026885,шт,445
Творог Простаквашино 2% расыпчат 290гр,4811351015942 2501509110019,шт,"1,380"
Сметана Простаквашино 15%  300гр,4600605029275,шт,975
Сметана Простаквашино 20%  300гр,4600605029268,шт,"1,125"
Молоко Шадринское 6%-950мл,4607161622438,шт,"1,300"
"Сливки Чудское озеро 33%-0,5л",4600765027579,шт,"2,630"
"Сливки Чудское озеро 33%-0,2л",4600765027616,шт,"1,300"
"Сливки Чудское озеро 10%-0,2л",4600765025995,шт,500
"Сливки Чудское озеро 20%-0,2л",4600765026008 4607021593717,шт,790
"Сливки Чудское озеро 22%-0,5л",4600765025759,шт,"2,320"
"Молоко Питьевое безлактоз Чудское Озеро 3,2%-1л",4607021593458,шт,980
Сыр твороженый Чудское Озеро 150гр,4600765002026,шт,"1,045"
Сыр KarKara Голандский особый 45%-200гр,4811277012797,шт,"1,345"
Сыр KarKara Российский особый 45%-200гр,4811277012827,шт,"1,345"
Сыр KarKara Сметанковый особый 45%-200гр,4811277012803,шт,"1,345"
Сыр KarKara Сливочный 45%-200гр,4811277012810,шт,"1,345"
Сыр Сливочный Мета Астана  50% вес,2500401640013,кг,"2,760"
"Сырок Глазировный Молоко сгущеное 26%,-36гр",4820000950220 4820000952378,шт,240
"Сырок Глазировный Ванильное 26%,-36гр",4820000950374,шт,325
"Молоко Айс Плюс мдж-2,5%-1л",4870132003660,шт,720
"Молоко Айс Плюс мдж-3,2%-1л",4870132003677,шт,735
"Молоко Айс Плюс топленое мдж-3,2%-1л",4870132003684,шт,750
"Молоко сгущен Лакомка 8,5%- 360 жб",4870144747590,шт,530
"Молоко сгущен Буренка 8,5%- 380гр жб",4870144740393,шт,585
Молоко сгущен Ак Булак 12%- 360гр жб,4870144744063,шт,575
"Молоко конц Петропавловское 7,1%-500мл",4870144749426 2574105360010,шт,715
Молоко конц Петропавловское 15%-500мл,4870144749402,шт,810
Молоко конц Петропавловское 20%-500мл,4870144749419,шт,875
"Молоко сгущен Буренка 8,5%- 250гр д.п",4870144745732,шт,500
"Молоко сгущен ГОСТ 8,5%- 250гр дп",4870144745725,шт,540
"Молоко MilokoBo 3,2%-1лТВА",4870144749860,шт,550
"Молоко MilokoBo 2,5%-1лТВА",4870144749853,шт,520
"Молоко сгущен Буренка 8,5%- 450гр б.п",4870144740454,шт,820
"Молоко MilokoBo 7,5%-500млТВА",4870144740317,шт,605
Молоко сгущен Лакомка-250гр дп,4870238600657,шт,390
"Молоко MilokoBo 7,5%-250гр б.п",4870144740072,шт,335
"Молоко Петропавловское 2,5%-0,9л",4870144749938,шт,535
"Молоко Петропавловское 6%-0,9л",4870144749952,шт,665
"Молоко Петропавловское 3,2%-0,9л",4870144749945,шт,580
"Йогурт (Клубника) 0,930 л 1,5% Село Лесное.",4870210771535,шт,690
"Йогурт (Персик) 0,930 л 1,5% Село Лесное.",4870210771573,шт,720
"Йогурт (Малина) 0,930 л 1,5% Село Лесное.",4870210771566,шт,690
"Йогурт Манго 0,5 л 1,5% Село Лесное.",4870210771863,шт,440
"Йогурт Карамель-Груша 0,5 л 1,5% Село Лесное.",4870210771870,шт,435
"Йогурт Ананас-Апельсин 0,5 л 1,5% Село Лесное.",4870210771856,шт,440
"Йогурт Мороженное-Ягода 0,5 л 1,5% Село Лесное.",4870210771887,шт,435
"Снежок 0,5 л 1,5% Село Лесное.",4870210770699,шт,380
"Молоко Питьевое Чудское Озеро 3,2%-1л",4600765026800,шт,745
Сыр плавленый Hohland Фетакса 400гр,4607004892615,шт,"3,000"
Сыр творожен Almete сливочный 150гр,4607004890673,шт,"1,215"
"Молоко Айс Плюс топленое мдж-6,5 % 350 мл",4870132003691,шт,355
Сыр чечел палочки малочн 50гр,792649190388,шт,505
Сыр чечел палочки копчен 50гр,792649190371,шт,505
"БиоКефир 0,93 л 2,5 % Село Лесное.",4870210771511,шт,555
"БиоРяженка 0,93 л 3,2 % Село Лесное.",4870210771528,шт,605
"БиоЙогурт Ананас-апельсин 0,900л 1,5 % Село Лесное.",4870210771917,шт,670
"БиоЙогурт Ягодное морожен 0,900л 1,5 % Село Лесное.",4870210771924,шт,670
"БиоЛайф 1л 2,5 % Село Лесное.",4870210770729,шт,675
"БИО С Персик 2,9% 0,45 кг",4870207314271,шт,445
"Питьевой йогурт Абрикос 2%  0,9кг",4870207313298,шт,700
"Творог Домашний Рассыпчатый Президент 0,1% 0,450 кг",4870207313991,шт,"1,000"
"Творог Домашний Рассыпчатый Президент 9% 0,200 кг",4870207313984,шт,655
Курт круглый 100 гр. Султан-Ата.,4870001028534,шт,615
Курт Кокшетау вак 30гр,4870212680637,шт,290
Масло Петропавловское облегчен 60%-180гр,4870144748290,шт,240
Масло Петропавловское особое70%-180гр,4870144748313,шт,340
"Кефир 3,2% по техно 1956 -900мл",4870250270128,шт,775
Напиток б/а на раст. сырье минд. у/паст Миндальное молоко Т3 CREMART.,4607021591522,шт,"1,345"
Чечил Продукт Балык охотничий копченый СОЧИНСКИЙ 50 г.,4610043821577,шт,855
Сыр творожен Hohland с зеленью 220гр,4607004891717,шт,"1,720"
Pan Smetankoфф Сыр 200 гр Голландский мдж 45% фасовка.,4810268055393,шт,"1,490"
Pan Smetankoфф Сыр 200 гр Сливочный мдж 50% фасовка.,4810268055379,шт,"1,435"
Pan Smetankoфф Сыр 200 гр Сметанковый мдж 50% фасовка.,2500408330016 4810268055386,шт,"1,250"
Pan Smetankoфф Сыр 200 гр с ароматом топленого молока мдж 45% фасовка.,4810268055409,шт,"1,250"
Номад Сыр Голландский особый мдж 45 % фас.200 гр.,4811277012834,шт,"1,360"
Номад Сыр Сливочный мдж 50 % фас.200 гр.,4811277012865,шт,"1,360"
Номад Сыр Сметанковый мдж 50 % фас.200 гр.,4811277012858,шт,"1,120"
Номад Сыр Тильзитер мдж 45 % фас.200 гр.,4811277012841,шт,"1,120"
Сливки питьевые 10 % 10*10 *20 шт,4607178790090,шт,550
"Йогурт слив 100 г ( клубника абрикос манго) 4,5%",4607178791264,шт,210
"Йогурт сочн - молочн 1,2 % ( клубника) 95 гр.",2500408410015 4607178790274,шт,225
Сыр творожный Виолетта 140 г с зеленью мдж 70 %.,4600493813208,шт,970
Сыр творожный Виолетта 140 г с креветками мдж 70 %.,4600493811020,шт,"1,010"
Сыр творожный Виолетта 140 г с сливочным мдж 70 %.,4600493811006,шт,"1,010"
Курт соленый 30 гр. ( Viakom),4870207561828,шт,240
Растишка 90 гр земляника,4600605013960,шт,310
Растишка творог Клубника абрикос 270гр,4600605022238,шт,"1,045"
"Молоко концентрированное стерилизованное цельное жирность 8,6 % 300 гр. Три Желания.",4870035009042,шт,685
"Продукт сывороточный сгущенный с сахаром 8,5 % 380 гр",4870035003330,шт,530
"Кымыз Бал 0,5 л с/б",4631171364323 4603745114047,шт,"1,000"
Кымыз Бал в ассортим 1 л п/б,4603745114214 4631171364293 4631171364316,шт,"1,625"
"Молоко Мое 1,5% 0,95 литр",4870001154455,шт,750
"Сыр плавленный ""С ветчиной"" 200 гр",4870007492315,шт,755
"Сыр плавленный ""С грибами "" 200 гр",4870007492339,шт,755
"Сыр плавленный ""Сливочный"" 200 гр",4870007492292,шт,755
"Сыр плавленный ""Янтарь"" 200 гр",4870007492353,шт,755
"Масло ""Вкусные"" 0,18   72,5%",4870007491424,шт,685
"Масло ""Вкусные"" 0,2   72,5% Флоу/пак",4870007492063,шт,695
"Масло ""Крестьянское"" 0,18   72,5%",4870007490038,шт,870
"Масло ""Элитное "" 0,18   72,5%",4870007491820,шт,"1,125"
"Молоко сгущенное ж/б Варенка 0,38 кг 8,5%",4870007492247,шт,820
Творожный сыр Альметте с зеленью 150 гр,4607004890680,шт,"1,160"
Напиток овсян NEMOLOKO классич 1л,4680019561981,шт,990
"Напиток овсян NEMOLOKO ваниль витамин минер 0,2л",4680019568324,шт,290
"Напиток овсян NEMOLOKO витамин В2-0,2л",4680019568294,шт,290
"Напиток овсян NEMOLOKO клас витамин В2-0,2л",4680019568256,шт,290
"Напиток овсян NEMOLOKO Экзотик-0,2л",4680019568270,шт,290
Напиток овсян NEMOLOKO клас витамин В2-1л,4680019560922,шт,"1,150"
Напиток рисовый NEMOLOKO клас витамин -1л,4680019563442,шт,"1,150"
Молоко ДЕП ультра топленое 6%-500гр,4870144003191,шт,545
"Молоко ДЕП ультра низколактозная 2,5%-500гр",4870144006352,шт,275
Молоко ДЕП ультра 3%-4%-500гр,4870144005355,шт,520
"Молоко ДЕП ультра микроэлементы 2,5%-500гр",4870144005348,шт,300
"Молоко сгущеное ДЕП 8,5%-700гр",4870144002491,шт,"1,715"
"Молоко сгущеное ДЕП 8,5%-600гр",4870144003689,шт,"1,690"
"Молоко сгущеное вареная ДЕП 8,5%-600гр",4870144003702,шт,"1,750"
"Молочн коктейль ДЕП ваниль 1,8%-500гр",4870144005454,шт,600
"Молочн коктейль ДЕП Клубника 1,8%-500гр",4870144005447,шт,600
"Молочн коктейль ДЕП Шоколад1,8%-500гр",4870144005430,шт,600
"Йогурт питьевой Эмиль Земляника1,5% пэт бут 310 гр",4870005359467,шт,530
"Йогурт питьевой Эмиль клубн-мята-лайм 2,5% пэт бут 310 гр",4870250270043,шт,520
Сыр чечел Балык ассорти 100гр Мета,4610043821775,шт,980
Pan Smetankoфф Сыр 300 гр Сливочный мдж 50% фасовка.,4810268055416,шт,"1,775"
Pan Smetankoфф Сыр 300 гр Голландский мдж 50% фасовка.,4810268055430,шт,"1,775"
Pan Smetankoфф Сыр 300 гр Сметанковый мдж 50% фасовка.,4810268055423,шт,"1,775"
Pan Smetankoфф Сыр 300 гр Топл молоко мдж 50% фасовка.,4810268055447,шт,"1,775"
"Масло сливочное вес 72,5% Эмиль",2500504390013 4870250270166,шт,"1,080"
Коктейль Чуда жидкий шоколад 200 мл,4607014822909,шт,480
"Йогурт Клубника 3,2% -130гр Село Лесное.",4870210771795,шт,240
"Йогурт Вишня-черешня 3,2% -130гр Село Лесное.",4870210771801,шт,240
"Йогурт Персик-маракуйя 3,2% -130гр Село Лесное.",4870210771818,шт,240
"Творожная масса с чернослисом, 4.5%, п/стакан, 180 гр.",4870005352895,шт,580
Сыр плав. Президент 150 гр 45 % Сливочный,4607037121560,шт,"1,075"
Сыр плав. Президент 150 гр 45 % Грибами,4607037121621,шт,885
Сыр плав. Президент 150 гр 45 % Моцарелла,4607037121584,шт,"1,075"
Сыр плав. Президент 150 гр 45 % Чеддер,4607037122352,шт,"1,075"
