Номенклатура,Штрихкоды,Ед.,Основной тип цен
"Йогурт (Персик) 0,45 л 1,5% Село Лесное.",4870210770613,шт,440
"Йогурт (Лесная ягода) 0,45 л 1,5% Село Лесное.",4870210770620,шт,465
"Йогурт (Чернослив) 0,45 л 1,5% Село Лесное.",4870210770682,шт,445
"Йогурт (Клубника-банан) 0,45 л 1,5% Село Лесное.",4870210771276,шт,440
"Айран 0,93 л 1,5% Село Лесное.",4870210770392,шт,550
"Айран 0,3 л 1,5% Село Лесное.",4870210771023,шт,230
"Кефир 0,93 л 1 % Село Лесное.",4870064001093,шт,545
"Кефир 0,93 л 2,5 % Село Лесное.",4870064001109,шт,565
"Кефир 0,45 л 2,5 % Село Лесное.",4870210770675,шт,340
Сметана 180 гр 15 % Село Лесное.,4870064001130,шт,435
Сметана 360 гр 15 % Село Лесное.,4870064001147,шт,745
Сметана 180 гр 20 % Село Лесное.,4870064001154,шт,470
Сметана 360 гр 20 % Село Лесное.,4870064001161,шт,795
Сыр Сулугуни 250 гр.,4870210770194,шт,"1,725"
"Тан классический 0,5 л ПЭТ.",4870052001944,шт,345
Тан классический 1 л ПЭТ.,4870052001937,шт,450
"Тан классический 1,5 л ПЭТ.",4870052003214,шт,585
"Турецкий Айран1,2%-270гр",4870250270074,шт,235
Сыр Emir Эмир вес 160,2500400110012,кг,"2,810"
Сыр Emir Моцарелла вес,2500400120011,кг,"3,050"
Сыр Emir Адыгея вес,2500400130010,кг,"2,920"
Сыр Emir Сметанковый вес,2500400140019,кг,"2,800"
Сыр Emir Голандский вес,2500400150018,кг,"3,510"
Сыр Emir Сулугуни вес,2500400160017,кг,"3,050"
